ANT1,20.60,-5.60,0.00,2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,20.70,0.40,270.00,12pF,NORDIC_NRF_3_RESC0201_L
C10,16.00,-0.10,315.00,N.C.,NORDIC_NRF_3_RESC0201_L
C11,16.80,1.00,0.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,16.50,2.00,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,16.70,3.80,45.00,N.C.,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C14,11.00,7.20,90.00,4.7uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C15,15.00,6.00,45.00,1.0uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C16,13.00,4.90,225.00,47nF,NORDIC_NRF_3_RESC0201_L
C17,7.90,9.10,225.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,6.15,7.35,225.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,7.50,10.90,270.00,100nF,NORDIC_NRF_3_RESC0201_L
C2,18.60,3.20,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,-7.50,-4.40,180.00,4.7uF/25V,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C20,3.90,1.10,180.00,4.7uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C21,4.70,-1.00,225.00,,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C22,18.90,-1.50,90.00,N.C.,NORDIC_NRF_3_RESC0201_L
C23,-10.25,11.55,90.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C24,-11.30,11.20,90.00,10uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C25,-8.00,8.30,270.00,22uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C26,-9.30,-1.70,270.00,,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C27,-17.70,13.00,90.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C29,-13.40,-13.90,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C3,16.80,-0.90,315.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,-2.45,-13.40,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C31,8.60,-13.20,270.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C32,-15.90,8.10,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C33,-9.20,8.30,270.00,22uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C34,-15.90,11.20,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C37,-10.10,13.40,90.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C38,-8.90,15.00,270.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C39,-7.40,13.70,0.00,10uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C4,18.10,-1.50,90.00,1pF,NORDIC_NRF_3_RESC0201_L
C42,2.70,10.20,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C43,-0.60,5.30,270.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C5,10.00,5.70,315.00,100nF,NORDIC_NRF_3_RESC0201_L
